Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: X326, MSE: 0.08209415655691704, Jaccard: 0.9961665131744846
Attribute: X327, MSE: 0.3176079958181454, Jaccard: 0.9960283576224458
Attribute: X328, MSE: 0.10466411354426382, Jaccard: 0.9962285309255174
Attribute: X329, MSE: 0.5566745759547849, Jaccard: 0.9959682565617258
Attribute: X330, MSE: 0.0, Jaccard: 0.0
Attribute: X331, MSE: 0.13908410797903367, Jaccard: 0.9962176655344114
Attribute: X332, MSE: 0.001810699467502674, Jaccard: 0.9984089101034208
Attribute: X333, MSE: 0.06931982335322019, Jaccard: 0.9981403103757855
Attribute: X334, MSE: 0.6993128667262222, Jaccard: 0.9960030913135274
Attribute: X335, MSE: 0.010478687541032695, Jaccard: 0.9981616082070492
Attribute: X336, MSE: 0.3124537520577912, Jaccard: 0.995743705733739
Attribute: X337, MSE: 0.6553695084670599, Jaccard: 0.9959208517471142
Attribute: X338, MSE: 0.018138114767191973, Jaccard: 0.9958920590183475
Attribute: X339, MSE: 0.0006762024691282974, Jaccard: 1.0
Attribute: X340, MSE: 0.06102548959193907, Jaccard: 0.9961522204998589
Attribute: X341, MSE: 0.021244296248933474, Jaccard: 0.9979739130434783
Attribute: X342, MSE: 0.059258384698593326, Jaccard: 0.996221183123097
Attribute: X343, MSE: 0.18495700666893777, Jaccard: 0.995889979824684
Attribute: X344, MSE: 0.02413335342009895, Jaccard: 0.9964996941074653
Attribute: X345, MSE: 0.06863854367556751, Jaccard: 0.9964128686047881
Attribute: X346, MSE: 0.13737876087065584, Jaccard: 0.9963225880233292
Attribute: X347, MSE: 0.0, Jaccard: 0.0
Attribute: X348, MSE: 0.1283359331781261, Jaccard: 0.9979980795238024
Attribute: X349, MSE: 0.10634374816939285, Jaccard: 0.9977793274194682
Attribute: X350, MSE: 0.5695164809150661, Jaccard: 0.9961200841302397
Attribute: X351, MSE: 0.5240163696045191, Jaccard: 0.9963096504618637
Attribute: X352, MSE: 0.12279011815938108, Jaccard: 0.9978915662650603
Attribute: X353, MSE: 0.006308999931228458, Jaccard: 0.9959607896317247
Attribute: X354, MSE: 0.449642261469264, Jaccard: 0.9962669683257919
Attribute: X355, MSE: 0.6443018655260292, Jaccard: 0.9962624518441981
Attribute: X356, MSE: 0.3680289816557837, Jaccard: 0.9962559626042153
Attribute: X357, MSE: 0.0033934711221984327, Jaccard: 0.9981998943057206
Attribute: X358, MSE: 0.6719479800769986, Jaccard: 0.9961874997600391
Attribute: X359, MSE: 0.08161873624234196, Jaccard: 0.9959951570224705
Attribute: X360, MSE: 0.1967459107618366, Jaccard: 0.9960044012719488
Attribute: X361, MSE: 0.09248984441349446, Jaccard: 0.9963426215014481
Attribute: X362, MSE: 0.616328397911405, Jaccard: 0.9958616463694119
Attribute: X363, MSE: 0.4520882607345021, Jaccard: 0.9963921875141037
Attribute: X364, MSE: 0.0077675716632170716, Jaccard: 0.99589100423427
Attribute: X365, MSE: 0.007774456269828061, Jaccard: 0.9963798919640026
Attribute: X366, MSE: 0.0029281244500088924, Jaccard: 0.9955636773207369
Attribute: X367, MSE: 0.1351697323653235, Jaccard: 0.9959184678845203
Attribute: X368, MSE: 0.17348988406774227, Jaccard: 0.9963043001609686
Attribute: X369, MSE: 0.0013479318719832264, Jaccard: 0.9977477477477478
Attribute: X370, MSE: 0.019314879114870922, Jaccard: 0.9964615026354562
Attribute: X371, MSE: 0.035684772772126, Jaccard: 0.9962195430759003
Attribute: X372, MSE: 0.0012303231185582812, Jaccard: 0.9970621394283701
Attribute: X373, MSE: 0.05319386290376363, Jaccard: 0.9962618306489622
Attribute: X374, MSE: 0.5185711431224884, Jaccard: 0.9961754362631984
Attribute: X375, MSE: 0.566212851365721, Jaccard: 0.996078776463641
Attribute: X376, MSE: 0.17698670040569658, Jaccard: 0.996612024700533
Attribute: X377, MSE: 0.5350000728676391, Jaccard: 0.9959585557607306
Attribute: X378, MSE: 0.06250878278947383, Jaccard: 0.9966021606748166
